iter	Passed	Remaining
176	1819	13603
177	1830	13592
178	1839	13577
179	1848	13559
180	1858	13545
181	1868	13532
182	1875	13499
183	1885	13483
184	1895	13473
185	1905	13459
186	1915	13449
187	1925	13435
188	1935	13422
189	1945	13411
190	1954	13396
191	1963	13375
192	1971	13353
193	1980	13332
194	1989	13311
195	1998	13293
196	2006	13273
197	2016	13260
198	2026	13247
199	2035	13228
200	2045	13216
201	2053	13195
202	2063	13182
203	2071	13162
204	2079	13139
205	2088	13121
206	2097	13103
207	2106	13085
208	2115	13069
209	2124	13051
210	2133	13030
211	2142	13015
212	2151	12999
213	2160	12984
214	2169	12965
215	2178	12949
216	2187	12934
217	2196	12918
218	2205	12898
219	2213	12877
220	2222	12862
221	2231	12849
222	2240	12830
223	2249	12816
224	2259	12803
225	2268	12789
226	2277	12774
227	2287	12761
228	2296	12746
229	2305	12728
230	2313	12711
231	2322	12693
232	2331	12677
233	2341	12666
234	2351	12657
235	2361	12648
236	2371	12640
237	2381	12628
238	2391	12618
239	2401	12607
240	2409	12588
241	2419	12576
242	2428	12563
243	2437	12548
244	2446	12533
245	2455	12518
246	2464	12501
247	2472	12482
248	2483	12475
249	2491	12457
250	2501	12447
251	2510	12433
252	2519	12417
253	2528	12401
254	2537	12388
255	2547	12379
256	2557	12369
257	2566	12354
258	2574	12335
259	2582	12318
260	2591	12303
261	2601	12290
262	2609	12273
263	2618	12258
264	2628	12249
265	2636	12232
266	2645	12217
267	2654	12201
268	2662	12186
269	2671	12170
270	2681	12159
271	2691	12150
272	2700	12138
273	2709	12124
274	2719	12113
275	2728	12099
276	2736	12083
277	2745	12068
278	2754	12056
279	2763	12041
280	2773	12031
281	2782	12019
282	2792	12007
283	2801	11994
284	2810	11979
285	2819	11967
286	2828	11952
287	2836	11936
288	2845	11922
289	2854	11909
290	2862	11892
291	2870	11875
292	2878	11859
293	2887	11844
294	2896	11830
295	2905	11818
296	2914	11803
297	2923	11792
298	2932	11779
299	2942	11769
300	2952	11760
301	2961	11748
302	2970	11734
303	2979	11720
304	2987	11705
305	2996	11693
306	3007	11688
307	3016	11674
308	3025	11660
309	3033	11644
310	3041	11628
311	3051	11618
312	3059	11601
313	3068	11590
314	3076	11573
315	3085	11559
316	3093	11544
317	3102	11531
318	3111	11519
319	3120	11505
320	3130	11497
321	3139	11486
322	3148	11472
323	3157	11459
324	3166	11446
325	3175	11435
326	3184	11423
327	3194	11413
328	3202	11398
329	3212	11388
330	3221	11376
331	3229	11363
332	3238	11349
333	3246	11335
334	3255	11321
335	3264	11309
336	3273	11298
337	3281	11283
338	3290	11269
339	3299	11256
340	3307	11242
341	3316	11228
342	3325	11216
343	3334	11205
344	3342	11190
345	3351	11176
346	3359	11164
347	3368	11149
348	3377	11137
349	3386	11127
350	3395	11116
351	3404	11103
352	3413	11092
353	3421	11077
354	3429	11062
355	3438	11049
356	3448	11039
357	3457	11028
358	3465	11015
359	3474	11002
360	3483	10989
361	3492	10977
362	3501	10967
363	3510	10954
364	3519	10942
365	3527	10930
366	3536	10917
367	3545	10904
368	3555	10898
369	3564	10886
370	3573	10875
371	3582	10862
372	3591	10850
373	3599	10837
374	3608	10825
375	3616	10811
376	3625	10798
377	3633	10785
378	3642	10772
379	3652	10765
380	3661	10753
381	3670	10741
382	3679	10730
383	3687	10716
384	3695	10703
385	3705	10693
386	3714	10681
387	3722	10668
388	3731	10656
389	3739	10644
390	3748	10632
391	3758	10624
392	3768	10614
393	3778	10605
394	3786	10592
395	3794	10579
396	3805	10573
397	3816	10566
398	3824	10552
399	3833	10540
400	3841	10528
401	3851	10520
402	3860	10508
403	3869	10496
404	3877	10483
405	3885	10469
406	3893	10456
407	3903	10446
408	3911	10432
